GENE,Neuron
PDYN,Neuron_D1-MSN
SFXN1,Neuron_D1-MSN
ACCN4,Neuron_D1-MSN
STMN2,Neuron_D1-MSN
LINGO2,Neuron_D1-MSN
CHRM4,Neuron_D1-MSN
GNB4,Neuron_D1-MSN
EBF1,Neuron_D1-MSN
GNAI1,Neuron_D1-MSN
ARX,Neuron_D1-MSN
ADRA2C,Neuron_D1-MSN
GFRA1,Neuron_D1-MSN
PEA15A,Neuron_D1-MSN
FOXP2,Neuron_D1-MSN
THSD7B,Neuron_D1-MSN
YWHAH,Neuron_D1-MSN
WFS1,Neuron_D1-MSN
ARL4A,Neuron_D1-MSN
CPNE6,Neuron_D1-MSN
DGKZ,Neuron_D1-MSN
FNDC4,Neuron_D1-MSN
SSTR4,Neuron_D1-MSN
FSTL5,Neuron_D1-MSN
TMEM44,Neuron_D1-MSN
SHANK1,Neuron_D1-MSN
PERP,Neuron_D1-MSN
CRYM,Neuron_D1-MSN
MTAP1B,Neuron_D1-MSN
HPCAL1,Neuron_D1-MSN
UBE2QL1,Neuron_D1-MSN
CXCL14,Neuron_D1-MSN
TUBB2A,Neuron_D1-MSN
PPP1R2,Neuron_D1-MSN
FHL2,Neuron_D1-MSN
GALNTL4,Neuron_D1-MSN
CBFA2T3,Neuron_D1-MSN
TUB,Neuron_D1-MSN
SOX1,Neuron_D1-MSN
FXYD7,Neuron_D1-MSN
CHST2,Neuron_D1-MSN
SAMD4,Neuron_D1-MSN
GMPPA,Neuron_D1-MSN
ZFP521,Neuron_D1-MSN
PRKCA,Neuron_D1-MSN
ATP6V1C2,Neuron_D1-MSN
ABR,Neuron_D1-MSN
SYT7,Neuron_D1-MSN
FAIM2,Neuron_D1-MSN
TRP53I11,Neuron_D1-MSN
COL6A1,Neuron_D1-MSN
AKAP5,Neuron_D1-MSN
RASGRF2,Neuron_D1-MSN
PNMAL2,Neuron_D1-MSN
ATP6AP1L,Neuron_D1-MSN
COL9A3,Neuron_D1-MSN
1810041L15RIK,Neuron_D1-MSN
PKP2,Neuron_D1-MSN
FKBP1A,Neuron_D1-MSN
SIPA1L2,Neuron_D1-MSN
MARCKSL1,Neuron_D1-MSN
PDE1A,Neuron_D1-MSN
ONECUT2,Neuron_D1-MSN
IL20RA,Neuron_D1-MSN
9830001H06RIK,Neuron_D1-MSN
SLC16A2,Neuron_D1-MSN
IGSF3,Neuron_D1-MSN
SCG2,Neuron_D1-MSN
NEFL,Neuron_D1-MSN
TSHZ2,Neuron_D1-MSN
ADRA2B,Neuron_D1-MSN
PDZD2,Neuron_D1-MSN
1700019D03RIK,Neuron_D1-MSN
LY6H,Neuron_D1-MSN
SLC16A11,Neuron_D1-MSN
DLEU7,Neuron_D1-MSN
GM5607,Neuron_D1-MSN
PRKCC,Neuron_D1-MSN
SH3BGRL,Neuron_D1-MSN
AP3B2,Neuron_D1-MSN
GPR26,Neuron_D1-MSN
TOX2,Neuron_D1-MSN
PEPD,Neuron_D1-MSN
